,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,avg_monthly_spend,customer_lifetime_value,churn_probability,risk_level,monthly_revenue_at_risk,tenure_group
10,9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,3.567857142857143,649.35,0.1602215017644088,Low,8.00306401313222,Second-Year Accounts
11,7469-LKBCI,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,1.1147058823529412,303.2,0.02000810481121717,Low,0.37915358617256534,Second-Year Accounts
12,8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,1.7008474576271186,5820.299999999999,0.18514655795097515,Low,18.579457090380355,Loyal Accounts
13,0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,2.074,5081.3,0.4432181832884257,Medium,45.96172560700975,Loyal Accounts
14,5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,4.0576923076923075,2637.5,0.3976814753675715,Medium,41.95539565127879,Established Accounts
15,3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,1.6178571428571429,7814.25,0.035822728473379244,Low,4.056923999610199,Loyal Accounts
16,8191-XWSZG,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,0.38962264150943393,1073.8,0.014939605137476964,Low,0.3085028460888993,Loyal Accounts
17,9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,1.4819444444444445,7575.7,0.04993882522496398,Low,5.328472651503657,Loyal Accounts
18,4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,5.0181818181818185,552.0,0.1462121116250235,Low,8.070908561701298,First-Year Accounts
19,4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,4.093181818181818,1891.05,0.4675660454809672,Medium,42.10432239556109,Second-Year Accounts
20,8779-QRDMV,Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,19.825,39.65,0.7991740890955105,High,31.687252632636987,First-Year Accounts
21,1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,1.5230769230769232,237.60000000000002,0.059725246747871184,Low,1.1825598856078494,First-Year Accounts
22,1066-JKSGK,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,10.075,20.15,0.21223543560261843,Low,4.276544027392761,First-Year Accounts
23,3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,1.0152542372881355,3474.2,0.014638670943726317,Low,0.8768563895292064,Loyal Accounts
24,6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,1.192,2920.4,0.035582822743348536,Low,2.1207362355035726,Loyal Accounts
25,6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,1.7838709677419353,1659.0,0.11327860470296905,Low,6.264306840074188,Established Accounts
26,6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,2.0697916666666667,4669.45,0.4881493287587902,Medium,48.497635812185806,Established Accounts
27,8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,15.1,30.2,0.563797968261553,Medium,17.0266986414989,First-Year Accounts
28,5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,1.2363013698630136,6498.0,0.016743177999571986,Low,1.5110718144613717,Loyal Accounts
29,8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,3.5944444444444446,1099.9,0.2904827403513142,Low,18.79423330073003,Second-Year Accounts
30,3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,1.3381944444444445,6840.849999999999,0.0325385836897253,Low,3.1350925385050323,Loyal Accounts
31,4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,31.833333333333332,191.0,0.8736982803160296,High,83.43818577018082,First-Year Accounts
32,6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,2.3625000000000003,1786.0500000000002,0.026287602576135636,Low,1.7389249104113724,Established Accounts
33,7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,10.1,20.2,0.23228062087436846,Low,4.692068541662243,First-Year Accounts
34,3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,22.625,45.25,0.5358535217799534,Medium,24.24737186054289,First-Year Accounts
35,6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,1.3684931506849316,7192.8,0.02720017355504598,Low,2.7172973381490935,Loyal Accounts
36,6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,11.616666666666667,348.5,0.626404703561825,High,43.660407838259204,First-Year Accounts
37,6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,1.5914893617021275,3440.7999999999997,0.24034453597994995,Low,17.977771291300257,Established Accounts
38,5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,3.0385714285714283,3615.8999999999996,0.565546839983348,Medium,60.145906432229054,Established Accounts
39,8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,8.154166666666667,1076.35,0.6816798265139742,High,66.70237102439236,First-Year Accounts
40,8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,4.504545454545454,495.5,0.08338657138324602,Low,4.13180461203984,First-Year Accounts
41,9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,0.9746478873239437,4844.0,0.015244448959418148,Low,1.0549158679917359,Loyal Accounts
42,9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,1.1527777777777777,352.75,0.040937286231051945,Low,0.8494486892943278,Second-Year Accounts
43,4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,1.24765625,5030.549999999999,0.01493716080223481,Low,1.1927322900584494,Loyal Accounts
44,4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,5.442857142857143,990.6,0.28455575171966263,Low,21.683148281038292,Second-Year Accounts
45,3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,1.69,4140.5,0.4179324966358083,Medium,35.3152959657258,Loyal Accounts
46,5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,16.416666666666668,98.5,0.3323625544569019,Medium,16.36885580700242,First-Year Accounts
47,7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,26.883333333333336,161.3,0.8351370874193137,High,67.35380610036765,First-Year Accounts
48,7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,1.5047169811320755,4147.0,0.025359710243708866,Low,2.022436891935782,Loyal Accounts
49,2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,0.9164285714285715,4426.35,0.008158862665258941,Low,0.5233910399763612,Loyal Accounts
50,8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,2.0511363636363638,3880.75,0.5425462474446339,Medium,48.964798831878205,Established Accounts
51,9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,6.19375,1486.5,0.4444547872182791,Medium,44.04546941333145,Second-Year Accounts
52,6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,2.673076923076923,1737.5,0.2294702793564733,Low,15.948184415274895,Established Accounts
53,7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,8.961111111111112,645.2,0.6153498210827252,High,49.62796307032179,First-Year Accounts
54,4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,1.2270491803278687,4491.0,0.02839396261649786,Low,2.125288101844865,Loyal Accounts
55,1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,5.023684210526316,1718.1000000000001,0.7359652933589957,High,70.24788725111614,Second-Year Accounts
56,8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,1.55703125,6277.950000000001,0.15447879622914854,Low,15.393812044234652,Loyal Accounts
57,5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,1.6186567164179104,7157.7,0.23695913825675569,Low,25.698218543945156,Loyal Accounts
58,3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,0.7128571428571429,848.3,0.013999368839685836,Low,0.3492842525501616,Established Accounts
59,5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,1.4726027397260273,7740.0,0.06831241866981351,Low,7.343585007004952,Loyal Accounts
60,0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,2.09375,4723.5,0.5371018902917019,Medium,53.978739974316035,Established Accounts
61,1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,1.4737704918032788,5394.0,0.33356475996784385,Medium,29.987471921109165,Loyal Accounts
62,0526-SXDJP,Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,0.5767123287671233,3031.2000000000003,0.00941428487193156,Low,0.3963413931083187,Loyal Accounts
63,0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,2.863157894736842,979.1999999999999,0.0691693036294693,Low,3.76281011744313,Second-Year Accounts
64,5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,9.440000000000001,849.6,0.6979830414308499,High,65.88959911107223,First-Year Accounts
65,5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,18.825,225.89999999999998,0.5357671449377931,Medium,40.34326601381582,First-Year Accounts
66,8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,1.64375,3708.3,0.19445210616471945,Low,15.342271176396366,Established Accounts
67,3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,2.475,2455.2000000000003,0.026912497205556572,Low,2.1314697786800805,Established Accounts
68,3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,0.39509803921568626,1007.4999999999999,0.006606943723490552,Low,0.1331299160283346,Loyal Accounts
69,7410-OIEDU,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,7.259090909090909,798.5,0.36625328688662895,Medium,29.24532495789732,First-Year Accounts
70,2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,24.525,49.05,0.37711069233397587,Medium,18.497279458981517,First-Year Accounts
71,0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,0.38490566037735846,1060.8,0.025641619097584438,Low,0.5230890295907225,Loyal Accounts
72,1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,1.7169230769230768,7142.4,0.07352357854756421,Low,8.205231365908165,Loyal Accounts
73,8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,0.38492063492063494,1503.5,0.008375841015603236,Low,0.20311414462837846,Loyal Accounts
74,5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,16.125,193.5,0.29216429803574234,Low,18.84459722330538,First-Year Accounts
75,2673-CXQEU,Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,1.9385964912280702,6188.0,0.22941733518959292,Low,25.35061553845002,Loyal Accounts
76,6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,1.1840425531914893,2559.9,0.046811853552442974,Low,2.6050796501934514,Established Accounts
77,5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,6.072222222222222,437.2,0.14279156849209476,Low,7.803559218092978,First-Year Accounts
78,0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,2.411290322580645,2242.5,0.28332112772649515,Low,21.17825429755551,Established Accounts
79,3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,0.5630434782608695,1165.5,0.03191090968134364,Low,0.8264925607468003,Established Accounts
80,5919-TMRGD,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,39.675,79.35,0.8969857297200079,High,71.17581765328262,First-Year Accounts
81,8108-UXRQN,Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,4.2124999999999995,556.05,0.42662900985586283,Medium,21.566096448213866,First-Year Accounts
82,9191-MYQKX,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,9.39375,526.0500000000001,0.5254667291827209,Medium,39.48882469808147,First-Year Accounts
83,9919-YLNNG,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,2.413953488372093,4359.599999999999,0.3247899661533256,Medium,33.7131984867152,Established Accounts
84,0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,0.40299999999999997,987.3499999999999,0.010057153226868404,Low,0.2026516375213983,Loyal Accounts
85,4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,9.93,893.6999999999999,0.6653319446459156,High,66.06746210333942,First-Year Accounts
86,4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,1.7263888888888888,2175.25,0.0740480975903184,Low,4.6020892652382885,Established Accounts
87,1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,0.4214285714285714,991.1999999999999,0.007061384337556121,Low,0.14581758657053387,Established Accounts
88,2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,0.42446808510638295,917.6999999999999,0.00884793741893841,Low,0.17651635150782127,Established Accounts
89,3016-KSVCP,Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,1.125,978.75,0.2681271843280396,Low,9.049292471071338,Established Accounts
90,4767-HZZHQ,Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,2.646774193548387,2461.5,0.23183284767003656,Low,19.0218851513265,Established Accounts
91,2424-WVHPL,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,37.35,74.7,0.8172825343616027,High,61.051005316811725,First-Year Accounts
92,7233-PAHHL,Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,1.2537313432835822,5544.0,0.017318459222529368,Low,1.454750574692467,Loyal Accounts
93,6067-NGCEU,Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,1.6825757575757576,7218.25,0.29793768601141724,Low,33.085980031567885,Loyal Accounts
94,9848-JQJTX,Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,1.382191780821918,7264.8,0.08935158729515914,Low,9.015575158081559,Loyal Accounts
95,8637-XJIVR,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,6.073076923076924,947.4000000000001,0.515057945603205,Medium,40.66382480537303,First-Year Accounts
96,9803-FTJCG,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,0.9284722222222221,4746.349999999999,0.017552688455546004,Low,1.1733972232532504,Loyal Accounts
97,0278-YXOOG,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,3.5083333333333333,105.25,0.14637785978145126,Low,3.0812539483995494,First-Year Accounts
98,3212-KXOCR,Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,0.39622641509433965,1092.0,0.006761305680080297,Low,0.14198741928168623,Loyal Accounts
99,4598-XLKNJ,Female,1,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,3.7884615384615383,2462.5,0.6146207911332062,High,60.54014792662081,Established Accounts
100,6380-ARCEH,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,10.1,20.2,0.21231551372797577,Low,4.288773377305111,First-Year Accounts
101,3679-XASPY,Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,9.725,19.45,0.2610017562902955,Low,5.076484159846247,First-Year Accounts
102,7123-WQUHX,Male,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,2.4358974358974357,3610.0,0.1681670457053319,Low,15.97586934200653,Established Accounts
103,5386-THSLQ,Female,1,Yes,No,66,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,0.6798507462686567,3006.2999999999997,0.07323733705352696,Low,3.335960702788153,Loyal Accounts
104,3192-NQECA,Male,0,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,1.5942028985507246,7480.0,0.07409952420634708,Low,8.15094766269818,Loyal Accounts
105,6180-YBIQI,Male,0,No,No,5,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,100.2,4.05,121.5,0.37216649007412145,Medium,9.04364570880115,First-Year Accounts
106,6728-DKUCO,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,7303.05,1.4267123287671233,7498.8,0.1698620635611089,Low,17.69113391988949,Loyal Accounts
107,9750-BOOHV,Female,0,No,No,32,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,30.15,927.65,0.9136363636363636,964.8,0.0659326897716426,Low,1.9878705966150243,Established Accounts
108,8597-CWYHH,Male,0,No,No,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.35,3921.3,2.1443181818181816,4057.0499999999997,0.2181827231842455,Low,20.585539932433562,Established Accounts
109,2848-YXSMW,Male,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,1363.25,0.2657534246575342,1396.8,0.0030436568228555403,Low,0.05904694236339748,Loyal Accounts
110,0486-HECZI,Male,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,1.7276785714285714,5321.25,0.3423587353412429,Medium,33.12320764426525,Loyal Accounts
